char;q1;q2;q3;q4;uq1;uq2;uq3;uq4;x_cg;y_cg;x_cg_norm;y_cg_norm;Ix;Iy;Ix_norm;Iy_norm
ё;102;143;189;111;0.30357142857142855;0.4255952380952381;0.5625;0.33035714285714285;13.444036697247707;25.346788990825686;0.4635874723188865;0.5172814079760344;38042.543119266054;118875.45688073395;0.08299979953804679;0.09084552451825038
і;55;52;90;95;0.25462962962962965;0.24074074074074073;0.4166666666666667;0.4398148148148148;7.47945205479452;31.41780821917808;0.4399677679290894;0.5818112633181126;1698.876712328767;74031.02739726026;0.02013173333090922;0.0869447584856111
а;85;119;142;144;0.3148148148148148;0.44074074074074077;0.5259259259259259;0.5333333333333333;14.126530612244897;19.930612244897958;0.45569453587886766;0.5386651958080529;34412.15510204082;61251.64081632653;0.07307896770379668;0.09130996976241637
б;137;156;204;177;0.2984749455337691;0.33986928104575165;0.4444444444444444;0.38562091503267976;16.468842729970326;28.212166172106826;0.4705383637134379;0.5129484758564877;75197.84569732938;167142.6602373887;0.09107714612405908;0.08197889017700602
в;128;125;137;146;0.47058823529411764;0.45955882352941174;0.5036764705882353;0.5367647058823529;16.565298507462686;17.253731343283583;0.5176655783582089;0.4929637526652452;40573.71455223881;62223.49253731343;0.07392307484593416;0.09476620855515296
г;120;54;128;3;0.47058823529411764;0.21176470588235294;0.5019607843137255;0.011764705882352941;11.085245901639345;14.691803278688525;0.3695081967213115;0.41976580796252927;13897.78360655738;42519.02950819672;0.05062944847561887;0.1138013503063144
д;71;160;97;148;0.17929292929292928;0.40404040404040403;0.24494949494949494;0.37373737373737376;21.28361344537815;20.65126050420168;0.5752327958210312;0.45891690009337066;49588.71218487395;84628.10924369746;0.07609785739586944;0.08779760270121117
е;96;121;142;81;0.38095238095238093;0.4801587301587302;0.5634920634920635;0.32142857142857145;12.870454545454546;18.577272727272728;0.4438087774294671;0.5020884520884521;32301.615909090913;55953.37272727273;0.08729222762158392;0.09289025288411037
ж;169;172;202;204;0.38235294117647056;0.3891402714932127;0.45701357466063347;0.46153846153846156;25.673360107095046;17.416331994645248;0.49371846359798166;0.4976094855612928;127290.29986613119;92763.52074966533;0.06301849402844673;0.10137258776566438
з;53;119;33;139;0.2264957264957265;0.5085470085470085;0.14102564102564102;0.594017094017094;16.319767441860463;17.808139534883722;0.6044358311800172;0.48130106851037086;15700.825581395347;47415.33720930232;0.06260896410101185;0.10068318669479998
